AVERAGE_ATMOSP_PRESSURE,AVERAGE_FREE_FLOW_SPEED,AVERAGE_FREE_FLOW_TIME,AVERAGE_HUMIDITY,AVERAGE_TEMPERATURE,AVERAGE_TIME_DIFF,AVERAGE_WIND_SPEED,DARK,LIGHT,LOW_LIGHT,céu limpo,céu pouco nublado,day,hour,month,nublado,nuvens quebradas,weekday
1026.0,39.2,91.0,71.0,8.0,0.0,1.0,1,0,0,1,0,13,23,2,0,0,2
1020.0,42.5,76.8,93.0,11.0,12.2,4.0,1,0,0,0,0,28,20,11,0,1,2
1017.0,45.9,86.3,93.0,14.0,0.0,0.0,1,0,0,1,0,14,5,8,0,0,1
1016.0,33.2,89.9,77.0,22.0,51.7,4.0,0,1,0,0,1,6,17,7,0,0,5
1004.0,44.0,85.5,100.0,12.0,3.5,9.0,1,0,0,0,0,15,6,10,0,1,0
1017.0,36.7,70.6,82.0,20.0,22.1,4.0,0,1,0,0,0,19,13,6,0,1,2
1024.0,47.9,72.0,93.0,9.0,6.6,5.0,1,0,0,0,0,5,7,12,0,1,2
1015.0,34.7,68.3,67.0,17.0,19.1,2.0,0,1,0,0,1,20,19,5,0,0,0
1013.0,46.5,75.4,100.0,17.0,1.3,1.0,0,1,0,0,0,12,6,7,0,1,4
1014.0,38.6,75.8,60.0,21.0,20.4,2.0,0,1,0,1,0,16,14,11,0,0,4
1013.0,41.3,86.4,93.0,17.0,1.4,1.0,1,0,0,0,0,3,23,9,0,1,0
1012.0,42.1,76.6,93.0,10.0,0.0,1.0,0,1,0,0,0,25,9,11,0,1,6
1006.0,40.7,80.9,76.0,13.0,26.3,4.0,0,1,0,0,0,5,11,11,0,1,0
1016.0,33.2,90.4,88.0,24.0,52.7,4.0,0,1,0,0,0,14,15,7,0,1,6
1022.0,37.0,91.2,77.0,19.0,52.9,1.0,0,1,0,0,0,26,11,9,0,1,3
1014.0,34.2,68.8,82.0,16.0,61.8,6.0,0,1,0,0,1,8,14,5,0,0,2
1008.0,42.3,86.0,82.0,13.0,1.0,3.0,1,0,0,0,0,7,3,11,0,1,2
1016.0,33.5,76.8,82.0,17.0,57.9,4.0,0,1,0,0,0,10,11,5,0,1,4
1020.0,37.9,80.8,87.0,14.0,17.1,2.0,1,0,0,0,1,14,23,6,0,0,4
1014.0,40.4,68.1,93.0,16.0,1.8,1.0,1,0,0,0,1,26,5,6,0,0,2
1022.0,44.2,85.8,93.0,12.0,0.0,5.0,1,0,0,0,0,9,5,2,0,1,5
1012.0,36.5,68.4,82.0,11.0,3.5,2.0,1,0,0,0,1,7,1,6,0,0,4
1018.0,48.6,83.6,100.0,16.0,9.3,7.0,1,0,0,0,0,24,6,9,0,1,1
1018.0,41.2,90.2,66.0,11.0,0.0,2.0,1,0,0,1,0,7,23,10,0,0,6
1020.0,33.6,72.2,72.0,19.0,25.8,4.0,0,1,0,0,0,23,14,5,0,1,3
1017.0,42.9,87.0,53.0,21.0,33.8,2.0,1,0,0,1,0,20,22,10,0,0,5
1017.0,39.9,81.3,83.0,29.0,41.2,2.0,0,1,0,0,1,23,15,8,0,0,4
1019.0,44.8,81.4,100.0,15.0,0.0,5.0,1,0,0,0,0,29,4,8,0,1,3
1024.0,39.4,70.1,93.0,13.0,0.0,5.0,1,0,0,0,0,2,3,12,0,1,6
1015.0,37.9,88.8,68.0,20.0,102.6,3.0,0,1,0,1,0,5,15,10,0,0,4
1019.0,51.5,75.9,93.0,18.0,0.6,3.0,1,0,0,0,0,4,1,9,0,1,2
1020.0,41.6,74.4,93.0,15.0,9.5,1.0,1,0,0,0,0,28,21,9,0,1,5
1018.0,42.4,86.1,93.0,14.0,110.1,3.0,0,1,0,0,0,17,8,10,0,1,2
1004.0,33.2,74.3,76.0,12.0,16.2,1.0,0,1,0,1,0,26,14,11,0,0,0
1026.0,46.4,70.4,100.0,13.0,2.6,2.0,1,0,0,0,0,2,23,11,0,1,4
1014.0,37.1,75.5,72.0,17.0,5.6,0.0,1,0,0,1,0,4,21,5,0,0,5
1016.0,40.4,82.1,82.0,20.0,18.9,1.0,1,0,0,0,1,16,19,9,0,0,0
1013.0,37.1,81.5,78.0,24.0,45.9,2.0,0,1,0,0,0,16,18,7,0,1,1
1020.0,39.6,88.3,25.0,26.0,43.0,3.0,0,1,0,1,0,3,16,10,0,0,2
1016.0,45.1,88.3,50.0,11.0,0.0,2.0,1,0,0,1,0,8,5,10,0,0,0
1022.0,45.6,85.3,87.0,14.0,3.3,2.0,1,0,0,1,0,10,0,8,0,0,4
1020.0,42.1,88.4,100.0,15.0,0.0,1.0,1,0,0,1,0,20,5,9,0,0,3
1017.0,33.5,76.7,48.0,17.0,49.9,5.0,0,1,0,0,0,12,11,6,0,1,2
1015.0,41.5,72.4,87.0,21.0,114.1,5.0,0,1,0,0,0,15,17,5,0,1,2
1016.0,40.7,73.2,100.0,16.0,46.5,0.0,0,1,0,0,0,27,7,6,0,1,3
1021.0,43.5,86.5,44.0,16.0,16.4,3.0,1,0,0,1,0,2,22,10,0,0,1
1022.0,34.7,87.1,57.0,24.0,18.9,3.0,0,1,0,1,0,10,13,9,0,0,0
1006.0,37.3,66.3,93.0,10.0,4.8,0.0,1,0,0,0,0,21,5,11,0,1,2
1015.0,35.1,69.9,64.0,20.0,13.0,2.0,0,1,0,0,0,15,13,11,0,1,3
