AVERAGE_SPEED_DIFF,AVERAGE_TIME_DIFF,AVERAGE_FREE_FLOW_TIME,AVERAGE_TEMPERATURE,AVERAGE_ATMOSP_PRESSURE,AVERAGE_HUMIDITY,AVERAGE_WIND_SPEED,is_weekend,AVERAGE_TIME,AVERAGE_SPEED,AVERAGE_SPEED_DIFF_Num,weekday_sin,weekday_cos,hour_sin,hour_cos,month_sin,month_cos,year_sin,year_cos,day_sin,day_cos,NoData,céu limpo,céu pouco nublado,nublado,nuvens dispersas,DARK,LIGHT
Medium,11.5,71.4,15.0,1019.0,100.0,3.0,0,82.9,35.743063932448734,5.7569360675512655,1.2246467991473532e-16,-1.0,0.9422609221188205,-0.33487961217098616,-0.8660254037844384,-0.5000000000000004,-2.4492935982947064e-16,1.0,-0.3943558551133187,0.9189578116202306,1,0,0,0,0,0,1
High,48.3,87.4,21.0,1021.0,53.0,5.0,0,135.7,26.85762711864407,14.842372881355931,-0.8660254037844384,-0.5000000000000004,-0.6310879443260528,-0.7757112907044198,-0.8660254037844384,-0.5000000000000004,-0.003112023360757168,0.9999951576435768,0.8978045395707416,-0.4403941515576344,0,1,0,0,0,0,1
High,38.4,85.2,26.0,1014.0,61.0,4.0,0,123.6,26.607766990291264,11.992233009708738,-2.4492935982947064e-16,1.0,-0.9422609221188204,-0.3348796121709864,-1.0,-1.8369701987210297e-16,-2.4492935982947064e-16,1.0,0.20129852008866006,0.9795299412524945,1,0,0,0,0,0,1
High,61.0,94.1,18.0,1025.0,48.0,4.0,0,155.1,22.69078014184397,14.709219858156029,0.8660254037844386,0.5000000000000001,0.13616664909624665,-0.9906859460363308,0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,-0.848644257494751,0.5289640103269624,0,1,0,0,0,0,1
Medium,50.4,77.0,15.0,1008.0,82.0,10.0,0,127.4,25.142857142857142,16.45714285714286,1.2246467991473532e-16,-1.0,-0.1361666490962464,-0.9906859460363308,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,0.9377521321470804,0.3473052528448203,1,0,0,0,0,0,1
Medium,5.6,68.5,13.0,1014.0,72.0,4.0,0,74.1,48.439946018893394,3.9600539811066042,1.2246467991473532e-16,-1.0,0.9422609221188205,-0.33487961217098616,-0.5000000000000004,0.8660254037844384,-0.003112023360757168,0.9999951576435768,0.10116832198743228,-0.9948693233918952,0,0,0,0,1,1,0
None,4.0,79.8,16.0,1020.0,58.0,0.0,0,83.8,43.51861575178998,2.1813842482100227,0.8660254037844387,-0.4999999999999998,-0.5195839500354336,0.8544194045464886,-0.866025403784439,0.49999999999999933,-0.003112023360757168,0.9999951576435768,0.5712682150947923,0.8207634412072763,0,1,0,0,0,1,0
Low,11.8,87.8,19.0,1014.0,64.0,5.0,0,99.6,36.05441767068273,4.845582329317267,-0.866025403784439,0.49999999999999933,-0.8878852184023756,0.4600650377311516,-0.8660254037844384,-0.5000000000000004,-0.003112023360757168,0.9999951576435768,-0.9377521321470804,0.3473052528448203,0,1,0,0,0,0,1
Low,10.6,72.6,21.0,1019.0,82.0,5.0,0,83.19999999999999,31.762500000000003,4.637499999999996,-2.4492935982947064e-16,1.0,-0.1361666490962464,-0.9906859460363308,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,-0.20129852008866028,0.9795299412524945,0,0,1,0,0,0,1
Low,10.1,84.4,19.0,1018.0,55.0,3.0,0,94.5,31.08063492063492,3.719365079365076,-0.866025403784439,0.49999999999999933,0.631087944326053,-0.7757112907044197,0.8660254037844387,-0.4999999999999998,-2.4492935982947064e-16,1.0,-0.7907757369376986,-0.6121059825476627,0,1,0,0,0,0,1
