AVERAGE_ATMOSP_PRESSURE,AVERAGE_CLOUDINESS,AVERAGE_HUMIDITY,AVERAGE_SPEED,AVERAGE_SPEED_DIFF_Num,AVERAGE_TEMPERATURE,AVERAGE_TIME,AVERAGE_TIME_DIFF,AVERAGE_WIND_SPEED,DARK,LIGHT,LOW_LIGHT,LUMINOSITY,algumas nuvens,céu claro,céu limpo,céu pouco nublado,day,hour,month,nublado,nuvens dispersas,nuvens quebradas,nuvens quebrados,tempo nublado,weekday,weekend,year
1026.0,céu claro,71.0,39.2,0.0,8.0,91.0,0.0,1.0,1,0,0,DARK,0,1,0,0,13,23,2,0,0,0,0,0,2,0,2019
1020.0,nuvens dispersas,93.0,36.674157303370784,5.825842696629216,11.0,89.0,12.2,4.0,1,0,0,DARK,0,0,0,0,28,20,11,0,1,0,0,0,2,0,2018
1017.0,céu claro,93.0,45.9,0.0,14.0,86.3,0.0,0.0,1,0,0,DARK,0,1,0,0,14,5,8,0,0,0,0,0,1,0,2018
1016.0,céu pouco nublado,77.0,21.07824858757062,12.121751412429383,22.0,141.60000000000002,51.7,4.0,0,1,0,LIGHT,0,0,0,1,6,17,7,0,0,0,0,0,5,1,2019
1004.0,céu claro,100.0,42.26966292134831,1.7303370786516865,12.0,89.0,3.5,9.0,1,0,0,DARK,0,1,0,0,15,6,10,0,0,0,0,0,0,0,2018
1017.0,nuvens quebradas,82.0,27.950593311758364,8.749406688241638,20.0,92.69999999999999,22.1,4.0,0,1,0,LIGHT,0,0,0,0,19,13,6,0,0,1,0,0,2,0,2019
1024.0,nuvens dispersas,93.0,43.87786259541985,4.02213740458015,9.0,78.6,6.6,5.0,1,0,0,DARK,0,0,0,0,5,7,12,0,1,0,0,0,2,0,2018
1015.0,céu claro,67.0,27.116819221967965,7.5831807780320375,17.0,87.4,19.1,2.0,0,1,0,LIGHT,0,1,0,0,20,19,5,0,0,0,0,0,0,0,2019
1013.0,céu claro,100.0,45.71186440677966,0.7881355932203391,17.0,76.7,1.3,1.0,0,1,0,LIGHT,0,1,0,0,12,6,7,0,0,0,0,0,4,0,2019
1014.0,céu claro,60.0,30.414553014553018,8.185446985446983,21.0,96.19999999999999,20.4,2.0,0,1,0,LIGHT,0,1,0,0,16,14,11,0,0,0,0,0,4,0,2018
1013.0,algumas nuvens,93.0,40.641457858769925,0.6585421412300718,17.0,87.80000000000001,1.4,1.0,1,0,0,DARK,1,0,0,0,3,23,9,0,0,0,0,0,0,0,2018
1012.0,algumas nuvens,93.0,42.1,0.0,10.0,76.6,0.0,1.0,0,1,0,LIGHT,1,0,0,0,25,9,11,0,0,0,0,0,6,1,2018
1006.0,céu claro,76.0,30.714832089552242,9.98516791044776,13.0,107.2,26.3,4.0,0,1,0,LIGHT,0,1,0,0,5,11,11,0,0,0,0,0,0,0,2018
1016.0,nuvens quebradas,88.0,20.97330538085255,12.226694619147452,24.0,143.10000000000002,52.7,4.0,0,1,0,LIGHT,0,0,0,0,14,15,7,0,0,1,0,0,6,1,2019
1022.0,nuvens quebradas,77.0,23.417071478140183,13.582928521859817,19.0,144.1,52.9,1.0,0,1,0,LIGHT,0,0,0,0,26,11,9,0,0,1,0,0,3,0,2019
1014.0,céu pouco nublado,82.0,18.01653905053599,16.183460949464013,16.0,130.6,61.8,6.0,0,1,0,LIGHT,0,0,0,1,8,14,5,0,0,0,0,0,2,0,2019
1008.0,nuvens dispersas,82.0,41.813793103448276,0.486206896551721,13.0,87.0,1.0,3.0,1,0,0,DARK,0,0,0,0,7,3,11,0,1,0,0,0,2,0,2018
1016.0,nuvens quebradas,82.0,19.10022271714922,14.399777282850781,17.0,134.7,57.9,4.0,0,1,0,LIGHT,0,0,0,0,10,11,5,0,0,1,0,0,4,0,2019
1020.0,céu pouco nublado,87.0,31.28008171603677,6.61991828396323,14.0,97.9,17.1,2.0,1,0,0,DARK,0,0,0,1,14,23,6,0,0,0,0,0,4,0,2019
1014.0,céu pouco nublado,93.0,39.35965665236051,1.0403433476394852,16.0,69.89999999999999,1.8,1.0,1,0,0,DARK,0,0,0,1,26,5,6,0,0,0,0,0,2,0,2019
1022.0,nuvens quebrados,93.0,44.2,0.0,12.0,85.8,0.0,5.0,1,0,0,DARK,0,0,0,0,9,5,2,0,0,0,1,0,5,1,2019
1012.0,céu pouco nublado,82.0,34.723226703755216,1.7767732962447838,11.0,71.9,3.5,2.0,1,0,0,DARK,0,0,0,1,7,1,6,0,0,0,0,0,4,0,2019
1018.0,céu claro,100.0,43.734768568353076,4.865231431646926,16.0,92.89999999999999,9.3,7.0,1,0,0,DARK,0,1,0,0,24,6,9,0,0,0,0,0,1,0,2019
1018.0,céu claro,66.0,41.2,0.0,11.0,90.2,0.0,2.0,1,0,0,DARK,0,1,0,0,7,23,10,0,0,0,0,0,6,1,2018
1020.0,nuvens dispersas,72.0,24.754285714285714,8.845714285714287,19.0,98.0,25.8,4.0,0,1,0,LIGHT,0,0,0,0,23,14,5,0,1,0,0,0,3,0,2019
1017.0,céu claro,53.0,30.896523178807946,12.003476821192052,21.0,120.8,33.8,2.0,1,0,0,DARK,0,1,0,0,20,22,10,0,0,0,0,0,5,1,2018
1017.0,céu pouco nublado,83.0,26.480571428571427,13.419428571428572,29.0,122.5,41.2,2.0,0,1,0,LIGHT,0,0,0,1,23,15,8,0,0,0,0,0,4,0,2019
1019.0,céu claro,100.0,44.8,0.0,15.0,81.4,0.0,5.0,1,0,0,DARK,0,1,0,0,29,4,8,0,0,0,0,0,3,0,2019
1024.0,nuvens quebrados,93.0,39.4,0.0,13.0,70.1,0.0,5.0,1,0,0,DARK,0,0,0,0,2,3,12,0,0,0,1,0,6,1,2018
1015.0,céu claro,68.0,17.58369905956113,20.316300940438868,20.0,191.39999999999998,102.6,3.0,0,1,0,LIGHT,0,1,0,0,5,15,10,0,0,0,0,0,4,0,2018
1019.0,céu claro,93.0,51.096078431372554,0.403921568627446,18.0,76.5,0.6,3.0,1,0,0,DARK,0,1,0,0,4,1,9,0,0,0,0,0,2,0,2019
1020.0,céu claro,93.0,36.8896305125149,4.710369487485103,15.0,83.9,9.5,1.0,1,0,0,DARK,0,1,0,0,28,21,9,0,0,0,0,0,5,1,2019
1018.0,céu claro,93.0,18.606727828746177,23.79327217125382,14.0,196.2,110.1,3.0,0,1,0,LIGHT,0,1,0,0,17,8,10,0,0,0,0,0,2,0,2018
1004.0,céu claro,76.0,27.257016574585638,5.942983425414365,12.0,90.5,16.2,1.0,0,1,0,LIGHT,0,1,0,0,26,14,11,0,0,0,0,0,0,0,2018
1026.0,nuvens quebrados,100.0,44.74739726027397,1.652602739726028,13.0,73.0,2.6,2.0,1,0,0,DARK,0,0,0,0,2,23,11,0,0,0,1,0,4,0,2018
1014.0,céu claro,72.0,34.538224414303336,2.5617755856966653,17.0,81.1,5.6,0.0,1,0,0,DARK,0,1,0,0,4,21,5,0,0,0,0,0,5,1,2019
1016.0,céu pouco nublado,82.0,32.839999999999996,7.560000000000002,20.0,101.0,18.9,1.0,1,0,0,DARK,0,0,0,1,16,19,9,0,0,0,0,0,0,0,2019
1013.0,céu claro,78.0,23.733516483516482,13.36648351648352,24.0,127.4,45.9,2.0,0,1,0,LIGHT,0,1,0,0,16,18,7,0,0,0,0,0,1,0,2019
1020.0,céu claro,25.0,26.63122619954303,12.968773800456972,26.0,131.3,43.0,3.0,0,1,0,LIGHT,0,1,0,0,3,16,10,0,0,0,0,0,2,0,2018
1016.0,céu claro,50.0,45.1,0.0,11.0,88.3,0.0,2.0,1,0,0,DARK,0,1,0,0,8,5,10,0,0,0,0,0,0,0,2018
1022.0,céu claro,87.0,43.901580135440184,1.698419864559817,14.0,88.6,3.3,2.0,1,0,0,DARK,0,1,0,0,10,0,8,0,0,0,0,0,4,0,2018
1020.0,céu claro,100.0,42.1,0.0,15.0,88.4,0.0,1.0,1,0,0,DARK,0,1,0,0,20,5,9,0,0,0,0,0,3,0,2018
1017.0,céu claro,48.0,20.29581358609795,13.20418641390205,17.0,126.6,49.9,5.0,0,1,0,LIGHT,0,1,0,0,12,11,6,0,0,0,0,0,2,0,2019
1015.0,nuvens dispersas,87.0,16.11045576407507,25.38954423592493,21.0,186.5,114.1,5.0,0,1,0,LIGHT,0,0,0,0,15,17,5,0,1,0,0,0,2,0,2019
1016.0,nuvens quebradas,100.0,24.889223057644113,15.81077694235589,16.0,119.7,46.5,0.0,0,1,0,LIGHT,0,0,0,0,27,7,6,0,0,1,0,0,3,0,2019
1021.0,céu claro,44.0,36.567055393586,6.932944606413997,16.0,102.9,16.4,3.0,1,0,0,DARK,0,1,0,0,2,22,10,0,0,0,0,0,1,0,2018
1022.0,céu claro,57.0,28.512924528301888,6.187075471698115,24.0,106.0,18.9,3.0,0,1,0,LIGHT,0,1,0,0,10,13,9,0,0,0,0,0,0,0,2018
1006.0,céu claro,93.0,34.78185654008439,2.5181434599156063,10.0,71.1,4.8,0.0,1,0,0,DARK,0,1,0,0,21,5,11,0,0,0,0,0,2,0,2018
1015.0,algumas nuvens,64.0,29.59577804583836,5.50422195416164,20.0,82.9,13.0,2.0,0,1,0,LIGHT,1,0,0,0,15,13,11,0,0,0,0,0,3,0,2018
1021.0,céu claro,93.0,36.972854291417164,3.4271457085828345,16.0,100.2,8.5,1.0,1,0,0,DARK,0,1,0,0,13,0,8,0,0,0,0,0,1,0,2019
1012.0,céu claro,68.0,32.86824196597353,8.431758034026466,18.0,105.80000000000001,21.6,5.0,1,0,0,DARK,0,1,0,0,18,19,10,0,0,0,0,0,3,0,2018
1017.0,céu pouco nublado,88.0,28.529493545183715,7.070506454816286,21.0,100.7,20.0,7.0,0,1,0,LIGHT,0,0,0,1,29,19,6,0,0,0,0,0,5,1,2019
1019.0,algumas nuvens,76.0,18.72107142857143,15.87892857142857,12.0,168.0,77.1,3.0,0,1,0,LIGHT,1,0,0,0,26,17,1,0,0,0,0,0,5,1,2019
1018.0,céu claro,68.0,29.52098765432099,12.47901234567901,21.0,121.5,36.1,5.0,0,1,0,LIGHT,0,1,0,0,16,14,6,0,0,0,0,0,6,1,2019
1023.0,céu claro,93.0,36.422448979591834,1.3775510204081627,9.0,68.6,2.5,1.0,1,0,0,DARK,0,1,0,0,8,4,6,0,0,0,0,0,5,1,2019
1016.0,céu claro,100.0,28.797646033129904,15.302353966870097,17.0,114.7,39.8,2.0,0,1,0,LIGHT,0,1,0,0,23,8,7,0,0,0,0,0,1,0,2019
