AVERAGE_FREE_FLOW_SPEED,AVERAGE_TIME_DIFF,AVERAGE_FREE_FLOW_TIME,AVERAGE_TEMPERATURE,AVERAGE_ATMOSP_PRESSURE,AVERAGE_HUMIDITY,AVERAGE_WIND_SPEED,AVERAGE_RAIN,week,is_weekend,AVERAGE_DISTANCE_FREE,AVERAGE_TIME,AVERAGE_SPEED,AVERAGE_SPEED_DIFF_Num,weekday_sin,weekday_cos,hour_sin,hour_cos,month_sin,month_cos,year_sin,year_cos,day_sin,day_cos,DARK,LIGHT,céu limpo,céu pouco nublado,nuvens dispersas
39.2,0.0,91.0,8.0,1026.0,71.0,1.0,0,35,0,3567.2000000000003,91.0,39.2,0.0,1.2246467991473532e-16,-1.0,0.9422609221188205,-0.33487961217098616,-0.8660254037844385,-0.5000000000000004,-2.4492935982947064e-16,1.0,-0.3943558551133187,0.9189578116202306,1,0,1,0,0
42.5,12.2,76.8,11.0,1020.0,93.0,4.0,0,32,0,3264.0,89.0,36.674157303370784,5.825842696629216,-0.8660254037844385,-0.5000000000000004,-0.6310879443260528,-0.7757112907044198,-0.8660254037844385,-0.5000000000000004,-0.003112023360757168,0.9999951576435768,0.8978045395707416,-0.4403941515576344,1,0,0,0,1
45.9,0.0,86.3,14.0,1017.0,93.0,0.0,0,35,1,3961.1699999999996,86.3,45.9,0.0,-2.4492935982947064e-16,1.0,-0.9422609221188204,-0.3348796121709864,-1.0,-1.8369701987210297e-16,-2.4492935982947064e-16,1.0,0.20129852008866006,0.9795299412524945,1,0,1,0,0
33.2,51.7,89.9,22.0,1016.0,77.0,4.0,0,9,0,2984.6800000000003,141.60000000000002,21.07824858757062,12.121751412429383,0.8660254037844386,0.5000000000000001,0.13616664909624665,-0.9906859460363308,0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,-0.8486442574947509,0.5289640103269624,0,1,0,1,0
44.0,3.5,85.5,12.0,1004.0,100.0,9.0,1,23,0,3762.0,89.0,42.26966292134831,1.7303370786516865,1.2246467991473532e-16,-1.0,-0.1361666490962464,-0.9906859460363308,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,0.9377521321470804,0.3473052528448203,1,0,1,0,0
36.7,22.1,70.6,20.0,1017.0,82.0,4.0,0,46,0,2591.02,92.69999999999999,27.950593311758364,8.749406688241638,1.2246467991473532e-16,-1.0,0.9422609221188205,-0.33487961217098616,-0.5000000000000004,0.8660254037844384,-0.003112023360757168,0.9999951576435768,0.10116832198743228,-0.9948693233918952,0,1,0,0,1
47.9,6.6,72.0,9.0,1024.0,93.0,5.0,0,40,0,3448.7999999999997,78.6,43.87786259541985,4.02213740458015,0.8660254037844387,-0.4999999999999998,-0.5195839500354336,0.8544194045464886,-0.866025403784439,0.49999999999999933,-0.003112023360757168,0.9999951576435768,0.5712682150947923,0.8207634412072763,1,0,0,0,1
34.7,19.1,68.3,17.0,1015.0,67.0,2.0,0,34,1,2370.01,87.4,27.116819221967965,7.5831807780320375,-0.866025403784439,0.49999999999999933,-0.8878852184023756,0.4600650377311516,-0.8660254037844385,-0.5000000000000004,-0.003112023360757168,0.9999951576435768,-0.9377521321470804,0.3473052528448203,0,1,1,0,0
46.5,1.3,75.4,17.0,1013.0,100.0,1.0,0,26,1,3506.1000000000004,76.7,45.71186440677966,0.7881355932203391,-2.4492935982947064e-16,1.0,-0.1361666490962464,-0.9906859460363308,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,-0.20129852008866028,0.9795299412524945,0,1,1,0,0
38.6,20.4,75.8,21.0,1014.0,60.0,2.0,0,16,1,2925.88,96.19999999999999,30.414553014553018,8.185446985446983,-0.866025403784439,0.49999999999999933,0.631087944326053,-0.7757112907044197,0.8660254037844387,-0.4999999999999998,-2.4492935982947064e-16,1.0,-0.7907757369376986,-0.6121059825476627,0,1,1,0,0
41.3,1.4,86.4,17.0,1013.0,93.0,1.0,0,34,1,3568.32,87.80000000000001,40.641457858769925,0.6585421412300718,-2.4492935982947064e-16,1.0,-0.2697967711570244,0.9629172873477992,-0.8660254037844385,-0.5000000000000004,-2.4492935982947064e-16,1.0,-0.9377521321470804,0.3473052528448203,1,0,0,1,0
42.1,0.0,76.6,10.0,1012.0,93.0,1.0,0,29,0,3224.8599999999997,76.6,42.1,0.0,1.2246467991473532e-16,-1.0,0.9976687691905392,-0.06824241336467088,-0.4999999999999997,-0.8660254037844388,-2.4492935982947064e-16,1.0,-0.4853019625310808,-0.8743466161445822,0,1,0,1,0
40.7,26.3,80.9,13.0,1006.0,76.0,4.0,1,3,1,3292.6300000000006,107.2,30.714832089552242,9.98516791044776,-2.4492935982947064e-16,1.0,0.9422609221188205,-0.33487961217098616,0.49999999999999994,0.8660254037844387,-2.4492935982947064e-16,1.0,-0.7907757369376986,-0.6121059825476627,0,1,1,0,0
33.2,52.7,90.4,24.0,1016.0,88.0,4.0,0,4,0,3001.2800000000007,143.10000000000002,20.97330538085255,12.226694619147452,-0.8660254037844385,-0.5000000000000004,-0.6310879443260528,-0.7757112907044198,0.49999999999999994,0.8660254037844387,-2.4492935982947064e-16,1.0,-0.9377521321470804,0.3473052528448203,0,1,0,0,1
37.0,52.9,91.2,19.0,1022.0,77.0,1.0,0,39,0,3374.4,144.1,23.417071478140183,13.582928521859817,-0.8660254037844385,-0.5000000000000004,0.8878852184023752,0.4600650377311522,-1.0,-1.8369701987210297e-16,-2.4492935982947064e-16,1.0,-0.72479278722912,0.6889669190756865,0,1,0,0,1
34.2,61.8,68.8,16.0,1014.0,82.0,6.0,0,6,0,2352.96,130.6,18.01653905053599,16.183460949464013,-0.8660254037844385,-0.5000000000000004,-0.2697967711570244,0.9629172873477992,0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,0.9987165071710528,-0.05064916883871264,0,1,0,1,0
